"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 03- 22","924.67","916.70","924.72","914.33","1.39B","0.68%"
"2022- 03- 23","930.57","929.35","933.27","927.02","1.44B","0.64%"
"2022- 03- 24","931.75","926.29","931.87","920.69","1.38B","0.13%"
"2022- 03- 25","934.69","936.94","937.69","933.09","1.57B","0.32%"
"2022- 03- 28","927.11","934.18","934.18","926.55","1.37B","-0.81%"
"2022- 03- 29","937.83","932.86","937.83","930.34","1.46B","1.16%"
"2022- 03- 30","939.07","942.08","943.30","936.91","1.54B","0.13%"
"2022- 03- 31","944.53","936.66","944.92","936.20","1.42B","0.58%"
"2022- 04- 01","940.57","940.49","942.22","936.86","1.25B","-0.42%"
"2022- 04- 04","947.32","940.47","947.33","938.45","1.09B","0.72%"
"2022- 04- 05","952.47","950.89","953.06","949.46","1.64B","0.54%"
"2022- 04- 06","943.13","944.27","947.41","939.82","1.41B","-0.98%"
"2022- 04- 07","927.95","936.92","936.92","925.91","1.18B","-1.61%"
"2022- 04- 08","934.73","931.98","935.68","924.73","906.47M","0.73%"
"2022- 04- 11","921.83","932.48","934.61","920.75","943.67M","-1.38%"
"2022- 04- 12","913.82","914.28","916.76","905.18","1.14B","-0.87%"
"2022- 04- 13","927.31","915.89","927.33","913.92","1.11B","1.48%"
"2022- 04- 14","928.01","930.69","931.81","925.61","1.17B","0.08%"
"2022- 04- 15","924.44","921.53","925.13","916.91","1.30B","-0.38%"
"2022- 04- 18","918.23","921.69","923.51","917.53","1.10B","-0.67%"
"2022- 04- 19","931.56","922.60","931.56","922.60","1.30B","1.45%"
"2022- 04- 20","928.93","933.29","933.37","927.29","1.26B","-0.28%"
"2022- 04- 21","929.68","930.45","934.26","929.54","1.40B","0.08%"
"2022- 04- 22","922.78","922.77","924.16","916.65","1.38B","-0.74%"
"2022- 04- 25","899.84","909.53","911.53","899.83","1.43B","-2.49%"
"2022- 04- 26","911.16","906.59","913.29","906.59","1.63B","1.26%"
"2022- 04- 27","896.18","898.02","898.02","888.97","1.86B","-1.64%"
"2022- 04- 28","892.22","900.43","902.02","889.30","1.55B","-0.44%"
"2022- 04- 29","904.75","895.64","904.76","894.62","1.46B","1.40%"
"2022- 05- 02","901.82","894.03","903.26","892.54","1.23B","-0.32%"
"2022- 05- 03","907.57","905.05","912.67","905.05","1.64B","0.64%"
"2022- 05- 04","900.06","911.16","911.97","899.34","1.36B","-0.83%"
"2022- 05- 06","884.22","888.54","892.43","883.31","1.14B","-1.76%"
"2022- 05- 09","860.84","880.34","880.78","859.73","1.12B","-2.64%"
"2022- 05- 10","856.14","848.08","858.43","831.59","1.27B","-0.55%"
"2022- 05- 11","866.34","853.73","866.81","852.23","1.08B","1.19%"
"2022- 05- 12","833.66","855.46","857.75","833.24","1.07B","-3.77%"
"2022- 05- 13","853.08","839.52","853.34","839.52","1.01B","2.33%"
"2022- 05- 16","856.25","862.24","866.47","855.45","1.01B","0.37%"
"2022- 05- 17","865.98","857.28","866.21","856.30","913.81M","1.14%"
"2022- 05- 18","871.57","872.19","876.82","868.28","1.06B","0.65%"
"2022- 05- 19","863.80","853.23","866.61","849.59","1.17B","-0.89%"
"2022- 05- 20","879.88","866.76","880.17","866.76","1.08B","1.86%"
"2022- 05- 23","883.59","883.78","884.39","878.90","1.08B","0.42%"
"2022- 05- 24","865.07","881.55","883.11","865.05","1.10B","-2.10%"
"2022- 05- 25","872.69","869.19","877.71","861.92","989.30M","0.88%"
"2022- 05- 26","871.43","876.19","885.12","868.81","947.42M","-0.14%"
"2022- 05- 27","873.97","881.41","883.36","873.21","1.28B","0.29%"
"2022- 05- 30","886.44","882.17","886.44","881.46","1.02B","1.43%"
"2022- 05- 31","893.36","888.44","893.42","884.11","1.32B","0.78%"
"2022- 06- 02","891.14","890.47","892.98","888.45","1.18B","-0.25%"
"2022- 06- 03","891.51","897.08","899.01","890.20","1.20B","0.04%"
"2022- 06- 07","873.78","889.07","889.09","873.09","1.12B","-1.99%"
"2022- 06- 08","874.95","877.77","880.73","873.61","1.34B","0.13%"
"2022- 06- 09","877.18","873.22","877.18","867.20","1.27B","0.25%"
"2022- 06- 10","869.86","869.10","872.09","865.96","1.21B","-0.83%"
"2022- 06- 13","828.77","852.74","852.74","828.76","1.26B","-4.72%"
"2022- 06- 14","823.58","816.25","826.50","804.38","1.27B","-0.63%"
"2022- 06- 15","799.41","822.27","826.30","795.42","1.20B","-2.93%"
"2022- 06- 16","802.15","812.95","822.31","800.56","997.61M","0.34%"
"2022- 06- 17","798.69","787.97","798.85","780.96","972.93M","-0.43%"
"2022- 06- 20","769.92","804.48","804.89","763.22","989.36M","-3.60%"
"2022- 06- 21","778.30","774.80","782.55","764.69","1.03B","1.09%"
"2022- 06- 22","746.96","783.21","785.23","746.94","1.09B","-4.03%"
"2022- 06- 23","714.38","747.49","751.99","714.38","1.26B","-4.36%"
"2022- 06- 24","750.30","719.47","750.41","719.47","837.12M","5.03%"
"2022- 06- 27","770.60","758.00","774.57","754.62","893.32M","2.71%"
"2022- 06- 28","769.51","770.69","774.80","759.83","978.29M","-0.14%"
"2022- 06- 29","762.35","759.21","765.79","753.32","819.57M","-0.93%"
"2022- 06- 30","745.44","762.45","762.45","744.24","910.03M","-2.22%"
"2022- 07- 01","729.48","748.20","753.45","724.20","798.82M","-2.14%"
"2022- 07- 04","722.73","733.35","736.73","712.53","867.47M","-0.93%"
"2022- 07- 05","750.95","729.40","750.98","728.32","936.69M","3.90%"
"2022- 07- 06","744.63","750.04","759.88","743.61","742.27M","-0.84%"
